label,block,g_mean_avg,g_mean_std,g_mean_p10,g_mean_p90,frac_high>=0.9,frac_low<=0.1,n_steps,g_mean_corr
E17_parallel-s1337,0,0.6207153242483037,0.37841578608166626,0.08348263651132577,0.9987261533737183,0.45,0.13,100.0,
E18_sequential-s1337,0,0.1430196361678827,0.25889921098579666,0.00269735406618564,0.42106412053108344,0.07,0.72,100.0,
E18_sequential-s1337,1,0.5855782538563653,0.38785110235958786,0.005645981943234761,0.9953739583492279,0.34,0.18,100.0,
E18_sequential-s1337,b0_vs_b1_corr,,,,,,,,-0.0037901955941775202
