label,run_dir,task,block,step,loss,g_mean,g_frac>0.5,lr,g_b0_Q1,g_b0_Q2,g_b0_Q3,g_b0_Q4
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,10,8.552380561828613,0.5982900857925415,0.9287109375,4.000015906058252e-05,0.6358339786529541,0.5833417177200317,0.5877814292907715,0.5862030982971191
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,30,6.431219577789307,0.6258909702301025,0.9228515625,0.00012000007700407878,0.6379278302192688,0.6198171377182007,0.6168696880340576,0.6289491057395935
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,50,5.66397762298584,0.976035475730896,1.0,0.00019999999494757503,0.9778620004653931,0.9757256507873535,0.975653886795044,0.9749004244804382
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,120,6.671499729156494,0.99692302942276,0.99609375,0.00015085915219970047,0.9877027273178101,0.9999949336051941,0.9999971389770508,0.9999973177909851
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,220,5.518223762512207,0.9992574453353882,1.0,2.9809412808390334e-05,0.9972310662269592,0.9999309778213501,0.9999363422393799,0.9999314546585083
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,300,12.981553077697754,0.9105067253112793,0.9765625,0.00019314915698487312,0.8338662385940552,0.9260256290435791,0.9391133785247803,0.9430214762687683
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,330,6.863004684448242,0.997370719909668,0.998046875,0.00018281153461430222,0.9898785352706909,0.9998626708984375,0.9998670220375061,0.9998746514320374
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,390,5.70633602142334,0.99626624584198,0.998046875,0.00015085915219970047,0.9869637489318848,0.9992774724960327,0.9993598461151123,0.9994641542434692
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,400,5.606363773345947,0.9988765716552734,1.0,0.0001444415102014318,0.9971792101860046,0.9993054270744324,0.9995113611221313,0.9995104670524597
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,440,5.573833465576172,0.9982011914253235,0.998046875,0.00011706131772371009,0.9929332733154297,0.9999532699584961,0.9999548196792603,0.9999633431434631
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,500,5.485147953033447,0.999588131904602,1.0,7.555849151685834e-05,0.999107837677002,0.9997175931930542,0.9997459053993225,0.9997811913490295
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,520,5.681523323059082,0.9939522743225098,0.998046875,6.29751302767545e-05,0.9820867776870728,0.997331976890564,0.9979449510574341,0.9984452724456787
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,530,5.724775791168213,0.9939448237419128,1.0,5.7099328842014074e-05,0.9900892972946167,0.994953989982605,0.9954211711883545,0.9953147172927856
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,540,5.570288181304932,0.9836413860321045,0.99609375,5.154967584530823e-05,0.9618639945983887,0.990109920501709,0.9904667735099792,0.9921249151229858
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,570,5.443331241607666,0.9240982532501221,0.9970703125,3.718847074196674e-05,0.883519172668457,0.9276394844055176,0.9394050240516663,0.9458292126655579
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,660,5.697788715362549,0.8200702667236328,1.0,0.00019993061141576618,0.8452761173248291,0.8180890679359436,0.8093435168266296,0.8075724840164185
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,670,5.709162712097168,0.9755339622497559,0.9951171875,0.00019972256268374622,0.9625778198242188,0.9785314798355103,0.9796347618103027,0.9813916683197021
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,680,6.939949989318848,0.9627042412757874,1.0,0.00019937615434173495,0.9551270008087158,0.9638035297393799,0.9659826159477234,0.9659037590026855
E17_parallel-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-144054-E17_parallel-s1337,copy,0,710,5.870582103729248,0.8532038331031799,1.0,0.00019751329091377556,0.8729537129402161,0.8546051383018494,0.8426088094711304,0.8426476716995239
